日期,注册天数,签到第几天,锁仓绩效积分,可用绩效积分,养老绩效积分,当前累计贡献值,,,,,,,,,,
2020年5月15日,76,7,187.850006,0.52,2.91,437905,,,,,,,,,,
日期,注册天数,登陆第几天,签到贡献值,阅读倍数,阅读贡献值,分享贡献值,广告贡献值,今日获取的总贡献值,转换比,贡献值转换成积分,释放比,释放积分,锁仓绩效积分,可用绩效积分,养老绩效积分,累计贡献值
2020年5月16日,76,7,1376,20,1260,50,160,2846,5190.180176,0.548343,0.002,0.376797,188.021545,0.821437,2.985359,440751
2020年5月17日,77,1,12,20,1260,50,160,1482,5190.180176,0.285539,0.002,0.376614,187.930466,1.122729,3.060682,442233
2020年5月18日,78,2,24,20,1260,50,160,1494,5190.180176,0.287851,0.002,0.376437,187.841888,1.423878,3.13597,443727
2020年5月19日,79,3,36,20,1260,50,160,1506,5190.180176,0.290163,0.002,0.376264,187.755783,1.724889,3.211222,445233
2020年5月20日,80,4,48,20,1260,50,160,1518,5190.180176,0.292475,0.002,0.376097,187.672165,2.025767,3.286442,446751
2020年5月21日,81,5,60,20,1260,50,160,1530,5190.180176,0.294787,0.002,0.375934,187.591019,2.326514,3.361629,448281
2020年5月22日,82,6,72,20,1260,50,160,1542,5190.180176,0.2971,0.002,0.375776,187.512344,2.627135,3.436784,449823
2020年5月23日,83,7,1376,20,1260,50,160,2846,5190.180176,0.548343,0.002,0.376121,187.68457,2.928032,3.512008,452669
2020年5月24日,84,1,12,20,1260,50,160,1482,5190.180176,0.285539,0.002,0.37594,187.594162,3.228784,3.587196,454151
2020年5月25日,85,2,24,20,1260,50,160,1494,5190.180176,0.287851,0.002,0.375764,187.506256,3.529395,3.662349,455645
2020年5月26日,86,3,36,20,1260,50,160,1506,5190.180176,0.290163,0.002,0.375593,187.420822,3.82987,3.737468,457151
2020年5月27日,87,4,48,20,1260,50,160,1518,5190.180176,0.292475,0.002,0.375427,187.337875,4.130211,3.812553,458669
2020年5月28日,88,5,60,20,1260,50,160,1530,5190.180176,0.294787,0.002,0.375265,187.257401,4.430423,3.887606,460199
2020年5月29日,89,6,72,20,1260,50,160,1542,5190.180176,0.2971,0.002,0.375109,187.179398,4.730511,3.962628,461741
2020年5月30日,90,7,1376,20,1260,50,160,2846,5190.180176,0.548343,0.002,0.375455,187.35228,5.030875,4.037719,464587
2020年5月31日,91,1,12,20,1260,50,160,1482,5190.180176,0.285539,0.0015,0.281457,187.356354,5.256041,4.09401,466069
2020年6月1日,92,2,24,20,1260,50,160,1494,5190.180176,0.287851,0.0015,0.281466,187.362747,5.481214,4.150304,467563
2020年6月2日,93,3,36,20,1260,50,160,1506,5190.180176,0.290163,0.0015,0.281479,187.371429,5.706397,4.2066,469069
2020年6月3日,94,4,48,20,1260,50,160,1518,5190.180176,0.292475,0.0015,0.281496,187.382416,5.931594,4.262899,470587
2020年6月4日,95,5,60,20,1260,50,160,1530,5190.180176,0.294787,0.0015,0.281516,187.395691,6.156806,4.319202,472117
2020年6月5日,96,6,72,20,1260,50,160,1542,5190.180176,0.2971,0.0015,0.281539,187.411255,6.382038,4.37551,473659
2020年6月6日,97,7,1376,20,1260,50,160,2846,5190.180176,0.548343,0.0015,0.281939,187.677658,6.607589,4.431898,476505
2020年6月7日,98,1,12,20,1260,50,160,1482,5190.180176,0.285539,0.0015,0.281945,187.681244,6.833145,4.488286,477987
2020年6月8日,99,2,24,20,1260,50,160,1494,5190.180176,0.287851,0.0015,0.281954,187.687149,7.058708,4.544677,479481
2020年6月9日,100,3,36,20,1260,50,160,1506,5190.180176,0.290163,0.0015,0.281966,187.695343,7.284281,4.60107,480987
2020年6月10日,101,4,48,16,1020,50,160,1278,5190.180176,0.246234,0.0015,0.281912,187.659668,7.50981,4.657453,482265
2020年6月11日,102,5,60,16,1020,50,160,1290,5190.180176,0.248546,0.0015,0.281862,187.626358,7.7353,4.713826,483555
2020年6月12日,103,6,72,16,1020,50,160,1302,5190.180176,0.250858,0.0015,0.281816,187.595398,7.960752,4.770189,484857
2020年6月13日,104,7,1376,16,1020,50,160,2606,5190.180176,0.502102,0.0015,0.282146,187.815353,8.186469,4.826618,487463
2020年6月14日,105,1,12,16,1020,50,160,1242,5190.180176,0.239298,0.0015,0.282082,187.772568,8.412135,4.883035,488705
2020年6月15日,106,2,24,16,1020,50,160,1254,5190.180176,0.24161,0.0015,0.282021,187.732147,8.637753,4.939439,489959
2020年6月16日,107,3,36,16,1020,50,160,1266,5190.180176,0.243922,0.0015,0.281964,187.694107,8.863324,4.995831,491225
2020年6月17日,108,4,48,16,1020,50,160,1278,5190.180176,0.246234,0.0015,0.281911,187.658432,9.088853,5.052214,492503
2020年6月18日,109,5,60,16,1020,50,160,1290,5190.180176,0.248546,0.0015,0.28186,187.625122,9.314342,5.108586,493793
